"Date","Day","Route","Time","Location","Incident","Direction","Vehicle","Delay"
2024-11-11,"Monday",90,"23:54:21","FINCH STATION","Security","S",5394,0
2024-08-10,"Saturday",107,"12:34:40","BLOOR AND MANNING","Security","N",7349,0
2024-01-16,"Tuesday",101,"09:48:36","FINCH STATION","Security","N",5760,0
2024-04-25,"Thursday",90,"15:34:21","PARLIAMENT AND BLOOR","Security","S",6641,0
2024-04-03,"Wednesday",102,"12:41:22","BLOOR AND MANNING","Security","N",6374,0
2024-09-18,"Wednesday",90,"05:04:35","BLOOR AND MANNING","Mechanical","W",5518,1
2024-08-22,"Thursday",86,"08:49:22","BLOOR AND MANNING","Vision","N",7127,0
2024-03-26,"Tuesday",87,"21:44:24","BLOOR AND MANNING","Security","E",6455,0
2024-12-07,"Saturday",78,"00:57:44","PARLIAMENT AND BLOOR","Security","E",5488,1
2024-02-08,"Thursday",89,"18:06:07","KEELE AND GLENLAKE","Security","N",6342,0
2024-06-07,"Friday",104,"00:54:14","MAIN STATION","Security","S",7221,0
2024-08-27,"Tuesday",100,"18:14:45","FINCH STATION","Mechanical","S",8319,1
2024-07-27,"Saturday",101,"04:13:26","KEELE AND GLENLAKE","Security","S",8334,0
2024-11-01,"Friday",104,"02:24:34","FINCH STATION","General Delay","S",6517,0
2024-02-03,"Saturday",81,"00:02:57","KEELE AND GLENLAKE","General Delay","N",6990,0
2024-01-04,"Thursday",100,"12:51:35","PARLIAMENT AND BLOOR","Security","S",7145,0
2024-01-13,"Saturday",105,"12:33:52","MAIN STATION","Security","N",7903,0
2024-03-09,"Saturday",100,"16:11:10","FINCH STATION","Security","S",7179,0
2024-08-30,"Friday",100,"14:03:40","KEELE AND GLENLAKE","Security","W",5918,0
2024-11-03,"Sunday",93,"22:21:04","FINCH STATION","Mechanical","S",6086,1
2024-10-04,"Friday",87,"03:26:12","FINCH STATION","Mechanical","N",7294,1
2024-03-29,"Friday",104,"23:50:13","BLOOR AND MANNING","Mechanical","E",7270,1
2024-01-25,"Thursday",90,"12:02:38","PARLIAMENT AND BLOOR","Mechanical","E",10689,1
2024-10-17,"Thursday",105,"15:52:40","KEELE AND GLENLAKE","Security","E",6162,0
2024-10-12,"Saturday",97,"14:58:10","BLOOR AND MANNING","General Delay","S",8567,0
2024-06-07,"Friday",102,"14:12:20","BLOOR AND MANNING","Security","S",5847,0
2024-04-30,"Tuesday",94,"01:55:06","BLOOR AND MANNING","Security","S",8614,1
2024-04-19,"Friday",100,"12:11:30","KEELE AND GLENLAKE","General Delay","N",7417,0
2024-06-06,"Thursday",109,"12:02:57","KEELE AND GLENLAKE","Security","S",6997,0
2024-03-04,"Monday",99,"06:06:06","MAIN STATION","General Delay","N",6824,0
2024-07-17,"Wednesday",96,"19:13:23","MAIN STATION","Vision","S",4772,0
2024-03-07,"Thursday",95,"13:21:43","MAIN STATION","General Delay","S",7142,0
2024-05-30,"Thursday",89,"22:47:02","PARLIAMENT AND BLOOR","Mechanical","E",6973,1
2024-11-30,"Saturday",104,"20:11:46","PARLIAMENT AND BLOOR","Security","N",6343,0
2024-03-25,"Monday",114,"00:55:42","MAIN STATION","Mechanical","S",6979,1
2024-06-13,"Thursday",84,"22:00:13","BLOOR AND MANNING","Mechanical","S",6352,1
2024-05-15,"Wednesday",103,"14:24:32","FINCH STATION","Security","N",7428,0
2024-02-20,"Tuesday",93,"23:15:11","BLOOR AND MANNING","General Delay","E",7580,0
2024-03-14,"Thursday",86,"16:23:49","FINCH STATION","Vision","N",6704,0
2024-06-26,"Wednesday",107,"04:13:49","BLOOR AND MANNING","Security","N",5364,0
2024-12-27,"Friday",98,"05:53:44","KEELE AND GLENLAKE","Security","E",7518,0
2024-08-23,"Friday",87,"12:04:06","MAIN STATION","Security","N",6728,0
2024-04-07,"Sunday",95,"07:57:43","MAIN STATION","Mechanical","S",7761,1
2024-11-25,"Monday",108,"18:30:22","FINCH STATION","General Delay","W",7755,0
2024-08-01,"Thursday",88,"02:43:33","KEELE AND GLENLAKE","Vision","N",8142,0
2024-05-06,"Monday",111,"06:18:07","PARLIAMENT AND BLOOR","Security","S",9640,0
2024-07-30,"Tuesday",101,"14:59:10","KEELE AND GLENLAKE","General Delay","N",6062,0
2024-06-22,"Saturday",98,"23:26:25","MAIN STATION","Vision","W",5472,0
2024-09-29,"Sunday",107,"09:17:23","MAIN STATION","Security","E",7368,0
2024-10-28,"Monday",73,"18:41:31","KEELE AND GLENLAKE","Mechanical","S",5711,1
2024-11-05,"Tuesday",111,"22:54:34","MAIN STATION","Mechanical","W",6253,1
2024-08-19,"Monday",88,"01:19:11","MAIN STATION","Mechanical","S",9721,1
2024-12-31,"Tuesday",104,"01:41:36","BLOOR AND MANNING","Vision","N",6608,0
2024-08-30,"Friday",88,"17:33:10","FINCH STATION","Security","W",6654,0
2024-12-15,"Sunday",94,"10:24:50","FINCH STATION","General Delay","N",8441,0
2024-11-30,"Saturday",99,"01:19:07","BLOOR AND MANNING","Security","E",7785,0
2024-10-06,"Sunday",111,"17:44:24","KEELE AND GLENLAKE","Security","S",8048,0
2024-04-22,"Monday",100,"12:22:56","FINCH STATION","Security","N",6363,0
2024-04-16,"Tuesday",102,"20:44:05","BLOOR AND MANNING","General Delay","N",7949,0
2024-05-30,"Thursday",89,"03:43:58","PARLIAMENT AND BLOOR","Vision","S",7180,1
2024-06-02,"Sunday",115,"20:29:42","BLOOR AND MANNING","Security","E",8018,0
2024-04-11,"Thursday",102,"11:18:57","PARLIAMENT AND BLOOR","Mechanical","S",8102,1
2024-09-11,"Wednesday",109,"02:32:16","BLOOR AND MANNING","Mechanical","W",5980,1
2024-06-08,"Saturday",105,"17:00:17","FINCH STATION","Vision","N",7038,0
2024-06-03,"Monday",97,"11:09:42","FINCH STATION","General Delay","S",6473,0
2024-01-05,"Friday",111,"22:12:54","PARLIAMENT AND BLOOR","Security","S",8290,0
2024-11-21,"Thursday",107,"16:35:26","KEELE AND GLENLAKE","Security","S",7613,0
2024-09-28,"Saturday",77,"20:04:03","BLOOR AND MANNING","General Delay","S",7268,0
2024-10-06,"Sunday",92,"05:34:30","PARLIAMENT AND BLOOR","Security","S",6779,1
2024-10-14,"Monday",97,"06:41:25","PARLIAMENT AND BLOOR","Vision","N",6316,0
2024-10-03,"Thursday",129,"07:01:24","BLOOR AND MANNING","Mechanical","S",6713,1
2024-02-24,"Saturday",108,"03:23:58","KEELE AND GLENLAKE","General Delay","E",8149,0
2024-11-26,"Tuesday",109,"15:55:00","MAIN STATION","General Delay","S",5299,0
2024-08-25,"Sunday",106,"10:47:37","BLOOR AND MANNING","Security","S",6729,0
2024-09-08,"Sunday",113,"17:04:17","FINCH STATION","Security","S",6919,0
2024-12-04,"Wednesday",107,"20:26:04","BLOOR AND MANNING","Security","S",6444,0
2024-02-08,"Thursday",95,"19:50:55","KEELE AND GLENLAKE","General Delay","N",6725,0
2024-11-05,"Tuesday",84,"17:20:32","MAIN STATION","Security","N",6104,0
2024-05-16,"Thursday",86,"23:29:42","FINCH STATION","Vision","N",7012,0
2024-08-13,"Tuesday",115,"07:57:45","KEELE AND GLENLAKE","Vision","W",6386,0
2024-02-17,"Saturday",100,"12:29:09","BLOOR AND MANNING","General Delay","N",5580,0
2024-03-17,"Sunday",89,"05:25:43","MAIN STATION","Vision","S",7326,0
2024-03-23,"Saturday",93,"21:23:03","PARLIAMENT AND BLOOR","General Delay","N",7700,0
2024-07-02,"Tuesday",106,"06:20:21","KEELE AND GLENLAKE","Vision","S",5751,0
2024-02-08,"Thursday",117,"21:11:00","PARLIAMENT AND BLOOR","General Delay","S",6046,0
2024-07-14,"Sunday",106,"03:28:55","BLOOR AND MANNING","Vision","E",5852,0
2024-09-13,"Friday",126,"23:25:58","FINCH STATION","Mechanical","S",5686,1
2024-06-16,"Sunday",106,"05:05:15","KEELE AND GLENLAKE","Security","N",6104,0
2024-10-12,"Saturday",100,"01:50:50","PARLIAMENT AND BLOOR","Vision","N",8653,0
2024-04-03,"Wednesday",92,"21:55:10","KEELE AND GLENLAKE","General Delay","N",7439,0
2024-09-28,"Saturday",93,"16:11:47","BLOOR AND MANNING","Vision","E",5936,0
2024-12-09,"Monday",107,"04:35:04","BLOOR AND MANNING","Mechanical","S",5981,1
2024-11-05,"Tuesday",107,"16:51:29","FINCH STATION","Mechanical","S",7062,1
2024-01-20,"Saturday",73,"13:31:00","FINCH STATION","Security","N",6254,0
2024-12-25,"Wednesday",97,"02:52:30","FINCH STATION","Security","W",7393,0
2024-07-13,"Saturday",124,"01:41:36","MAIN STATION","Vision","N",6233,0
2024-12-14,"Saturday",104,"01:29:02","PARLIAMENT AND BLOOR","Mechanical","E",6665,1
2024-06-12,"Wednesday",89,"06:24:01","MAIN STATION","General Delay","E",6272,0
2024-02-21,"Wednesday",106,"04:40:29","MAIN STATION","Vision","S",4339,0
2024-12-29,"Sunday",83,"19:57:21","KEELE AND GLENLAKE","Security","N",6492,0
2024-01-22,"Monday",104,"04:17:48","BLOOR AND MANNING","Security","N",7554,0
2024-06-25,"Tuesday",105,"09:09:22","MAIN STATION","General Delay","N",6558,0
2024-02-11,"Sunday",99,"16:27:54","FINCH STATION","Mechanical","S",7553,1
2024-11-10,"Sunday",103,"03:38:19","MAIN STATION","General Delay","W",6501,1
2024-03-24,"Sunday",100,"07:31:38","MAIN STATION","General Delay","N",5543,0
2024-01-11,"Thursday",106,"14:08:44","PARLIAMENT AND BLOOR","Mechanical","N",5931,1
2024-04-30,"Tuesday",103,"04:38:43","BLOOR AND MANNING","Security","N",7517,0
2024-10-28,"Monday",96,"07:54:19","BLOOR AND MANNING","Vision","N",8669,0
2024-03-25,"Monday",115,"10:05:04","PARLIAMENT AND BLOOR","Vision","N",7226,0
2024-12-30,"Monday",101,"00:20:12","PARLIAMENT AND BLOOR","Vision","N",5537,0
2024-07-12,"Friday",93,"00:28:32","MAIN STATION","Vision","S",7457,1
2024-04-16,"Tuesday",89,"13:51:22","MAIN STATION","General Delay","E",7514,0
2024-03-17,"Sunday",116,"16:44:11","PARLIAMENT AND BLOOR","Vision","W",7155,0
2024-07-16,"Tuesday",101,"16:31:55","PARLIAMENT AND BLOOR","General Delay","S",7025,0
2024-09-05,"Thursday",100,"09:51:49","PARLIAMENT AND BLOOR","General Delay","N",7360,0
2024-07-18,"Thursday",100,"22:53:17","MAIN STATION","Mechanical","N",8381,1
2024-06-08,"Saturday",93,"06:22:44","BLOOR AND MANNING","Security","N",5842,0
2024-09-06,"Friday",97,"08:51:38","BLOOR AND MANNING","Vision","N",7786,0
2024-10-18,"Friday",95,"06:13:03","BLOOR AND MANNING","Mechanical","W",7655,1
2024-01-16,"Tuesday",114,"22:42:49","PARLIAMENT AND BLOOR","Vision","E",6655,0
2024-02-02,"Friday",109,"00:13:02","MAIN STATION","Mechanical","E",6388,1
2024-02-09,"Friday",98,"07:49:05","BLOOR AND MANNING","Mechanical","N",6125,1
2024-01-10,"Wednesday",102,"18:07:23","KEELE AND GLENLAKE","Mechanical","S",7015,1
2024-07-18,"Thursday",88,"18:55:44","FINCH STATION","Security","N",5835,0
2024-05-04,"Saturday",95,"17:01:33","MAIN STATION","Mechanical","S",5058,1
2024-09-21,"Saturday",98,"11:24:00","FINCH STATION","Mechanical","E",5381,1
2024-09-19,"Thursday",90,"04:38:20","MAIN STATION","Mechanical","W",6813,1
2024-07-04,"Thursday",94,"09:26:10","FINCH STATION","Vision","N",6893,0
2024-03-01,"Friday",96,"06:55:21","PARLIAMENT AND BLOOR","Mechanical","W",7362,1
2024-09-08,"Sunday",74,"09:42:19","BLOOR AND MANNING","Vision","S",7475,0
2024-05-31,"Friday",124,"19:45:37","BLOOR AND MANNING","Mechanical","N",7107,1
2024-11-14,"Thursday",111,"14:19:20","PARLIAMENT AND BLOOR","Mechanical","E",7433,1
2024-02-23,"Friday",89,"14:39:10","PARLIAMENT AND BLOOR","General Delay","E",6813,0
2024-01-26,"Friday",92,"09:29:10","BLOOR AND MANNING","Vision","N",5280,0
2024-08-22,"Thursday",93,"06:52:52","MAIN STATION","General Delay","S",8122,0
2024-10-15,"Tuesday",87,"22:26:36","MAIN STATION","Mechanical","E",7423,1
2024-07-03,"Wednesday",114,"12:00:43","BLOOR AND MANNING","Security","S",8356,0
2024-09-09,"Monday",83,"13:17:51","BLOOR AND MANNING","Security","N",6543,1
2024-04-24,"Wednesday",112,"01:11:17","BLOOR AND MANNING","Vision","E",7986,0
2024-01-10,"Wednesday",114,"12:04:31","BLOOR AND MANNING","Mechanical","W",7273,1
2024-11-04,"Monday",92,"14:22:29","MAIN STATION","Mechanical","S",6176,1
2024-02-23,"Friday",90,"06:44:21","BLOOR AND MANNING","Vision","N",7525,0
2024-07-23,"Tuesday",81,"01:02:45","KEELE AND GLENLAKE","General Delay","E",6880,1
2024-12-28,"Saturday",103,"19:40:41","BLOOR AND MANNING","Security","S",6663,1
2024-09-23,"Monday",96,"22:37:39","BLOOR AND MANNING","General Delay","E",6343,0
2024-01-25,"Thursday",80,"08:50:42","BLOOR AND MANNING","Mechanical","S",8261,1
2024-02-21,"Wednesday",115,"06:59:16","KEELE AND GLENLAKE","Mechanical","N",5930,1
2024-10-08,"Tuesday",98,"14:49:10","MAIN STATION","Security","N",7724,0
2024-08-02,"Friday",83,"16:58:09","PARLIAMENT AND BLOOR","Mechanical","N",6247,1
2024-12-11,"Wednesday",99,"15:32:20","MAIN STATION","Vision","W",7409,0
2024-06-08,"Saturday",95,"11:49:06","PARLIAMENT AND BLOOR","Vision","S",7817,0
2024-02-26,"Monday",106,"14:52:52","FINCH STATION","General Delay","E",6407,0
2024-04-14,"Sunday",106,"19:31:53","KEELE AND GLENLAKE","Security","S",5152,0
2024-12-22,"Sunday",88,"00:30:10","FINCH STATION","Mechanical","W",5625,1
2024-10-05,"Saturday",105,"10:08:07","KEELE AND GLENLAKE","General Delay","E",6548,0
2024-09-26,"Thursday",102,"20:57:48","BLOOR AND MANNING","Mechanical","S",6371,1
2024-12-31,"Tuesday",87,"12:10:45","PARLIAMENT AND BLOOR","Mechanical","N",7443,1
2024-05-13,"Monday",103,"08:39:04","BLOOR AND MANNING","Security","N",8603,0
2024-12-12,"Thursday",96,"17:59:39","PARLIAMENT AND BLOOR","Security","S",7217,0
2024-05-08,"Wednesday",107,"13:45:12","PARLIAMENT AND BLOOR","Vision","N",7378,0
2024-08-05,"Monday",108,"05:52:03","FINCH STATION","General Delay","W",6445,0
2024-04-15,"Monday",96,"07:56:59","BLOOR AND MANNING","Vision","N",7706,0
2024-07-04,"Thursday",108,"16:09:31","MAIN STATION","General Delay","S",6703,0
2024-12-02,"Monday",80,"11:40:18","KEELE AND GLENLAKE","Mechanical","N",6647,1
2024-10-11,"Friday",87,"15:49:03","BLOOR AND MANNING","Vision","N",7066,1
2024-01-26,"Friday",104,"06:26:08","PARLIAMENT AND BLOOR","Mechanical","N",7446,1
2024-01-27,"Saturday",97,"04:40:22","FINCH STATION","Security","S",7742,0
2024-01-07,"Sunday",101,"17:13:07","MAIN STATION","Vision","N",6930,0
2024-09-01,"Sunday",94,"13:54:20","KEELE AND GLENLAKE","General Delay","S",6271,0
2024-06-02,"Sunday",100,"02:57:59","FINCH STATION","Vision","W",6725,1
2024-02-10,"Saturday",98,"07:57:41","BLOOR AND MANNING","Security","N",5097,1
2024-07-30,"Tuesday",81,"09:44:08","MAIN STATION","Security","N",6053,0
2024-08-09,"Friday",83,"15:29:31","KEELE AND GLENLAKE","Vision","S",8075,0
2024-06-07,"Friday",85,"17:39:34","BLOOR AND MANNING","Security","E",5863,0
2024-12-14,"Saturday",107,"16:21:57","BLOOR AND MANNING","Vision","N",9266,0
2024-05-24,"Friday",110,"10:25:50","FINCH STATION","General Delay","E",8011,0
2024-02-26,"Monday",108,"23:36:23","BLOOR AND MANNING","General Delay","S",6405,0
2024-05-27,"Monday",89,"04:10:50","BLOOR AND MANNING","Mechanical","E",9328,1
2024-06-11,"Tuesday",108,"08:48:23","PARLIAMENT AND BLOOR","General Delay","S",7534,0
2024-08-25,"Sunday",110,"13:53:36","KEELE AND GLENLAKE","General Delay","N",8816,0
2024-06-09,"Sunday",107,"15:01:34","KEELE AND GLENLAKE","General Delay","E",7697,0
2024-03-06,"Wednesday",99,"02:43:48","MAIN STATION","General Delay","S",5659,0
2024-01-04,"Thursday",117,"09:45:42","MAIN STATION","Vision","N",7224,0
2024-11-25,"Monday",87,"10:55:13","KEELE AND GLENLAKE","Mechanical","N",5872,1
2024-08-12,"Monday",97,"17:19:06","FINCH STATION","Mechanical","S",6445,1
2024-04-26,"Friday",72,"23:20:59","MAIN STATION","General Delay","N",6974,0
2024-01-25,"Thursday",108,"17:51:57","BLOOR AND MANNING","Mechanical","N",8546,1
2024-05-15,"Wednesday",104,"08:29:19","KEELE AND GLENLAKE","Mechanical","S",7050,1
2024-02-24,"Saturday",105,"05:09:07","MAIN STATION","Mechanical","S",6957,1
2024-08-04,"Sunday",83,"20:59:47","MAIN STATION","Security","E",8043,0
2024-03-25,"Monday",98,"13:54:33","KEELE AND GLENLAKE","Security","W",7617,0
2024-02-14,"Wednesday",80,"10:47:02","FINCH STATION","Vision","S",5027,0
2024-05-25,"Saturday",108,"12:19:41","PARLIAMENT AND BLOOR","General Delay","W",6831,0
2024-06-18,"Tuesday",96,"21:11:58","BLOOR AND MANNING","Mechanical","S",8312,1
2024-05-13,"Monday",111,"15:57:03","KEELE AND GLENLAKE","Vision","N",7512,0
2024-07-17,"Wednesday",109,"23:30:53","KEELE AND GLENLAKE","Vision","N",6008,0
2024-12-26,"Thursday",98,"17:28:51","PARLIAMENT AND BLOOR","Security","E",7673,0
2024-06-24,"Monday",98,"12:58:56","FINCH STATION","Mechanical","W",5252,1
2024-09-01,"Sunday",89,"17:16:09","FINCH STATION","Mechanical","S",5725,1
2024-11-04,"Monday",85,"18:16:43","MAIN STATION","Vision","E",6977,0
2024-04-13,"Saturday",121,"13:24:22","BLOOR AND MANNING","Vision","S",7919,0
2024-11-04,"Monday",108,"01:13:47","MAIN STATION","Security","S",6752,0
2024-11-14,"Thursday",96,"06:02:28","BLOOR AND MANNING","Security","W",8748,0
2024-07-17,"Wednesday",101,"16:10:37","FINCH STATION","Mechanical","E",8973,1
2024-07-28,"Sunday",109,"19:01:12","BLOOR AND MANNING","Mechanical","N",6870,1
2024-12-14,"Saturday",86,"16:04:34","KEELE AND GLENLAKE","General Delay","N",7066,0
2024-08-12,"Monday",99,"15:15:45","FINCH STATION","Vision","E",7518,0
2024-09-14,"Saturday",107,"17:02:29","PARLIAMENT AND BLOOR","Mechanical","S",7134,1
2024-06-25,"Tuesday",108,"18:11:38","MAIN STATION","General Delay","E",6219,0
2024-05-20,"Monday",115,"11:39:43","MAIN STATION","Vision","S",6539,0
2024-01-24,"Wednesday",112,"17:08:03","KEELE AND GLENLAKE","Vision","N",6809,0
2024-05-09,"Thursday",71,"08:19:30","KEELE AND GLENLAKE","Mechanical","E",7385,1
2024-06-13,"Thursday",101,"08:55:26","KEELE AND GLENLAKE","General Delay","N",7644,0
2024-07-09,"Tuesday",115,"14:36:47","FINCH STATION","Vision","E",5726,1
2024-03-16,"Saturday",104,"15:24:36","BLOOR AND MANNING","Vision","E",5924,0
2024-09-25,"Wednesday",107,"03:22:01","BLOOR AND MANNING","Vision","E",6758,1
2024-06-18,"Tuesday",90,"20:11:32","MAIN STATION","Vision","E",6886,0
2024-07-16,"Tuesday",100,"17:39:35","KEELE AND GLENLAKE","General Delay","N",5630,0
2024-12-27,"Friday",102,"09:40:07","KEELE AND GLENLAKE","General Delay","N",6975,0
2024-08-21,"Wednesday",105,"17:33:47","MAIN STATION","Security","E",6441,0
2024-03-04,"Monday",103,"15:46:41","KEELE AND GLENLAKE","Security","N",7172,0
2024-03-20,"Wednesday",84,"22:50:34","MAIN STATION","Security","S",6328,0
2024-02-05,"Monday",97,"05:15:47","BLOOR AND MANNING","General Delay","N",6612,0
2024-10-17,"Thursday",97,"22:36:15","PARLIAMENT AND BLOOR","Mechanical","E",6971,1
2024-09-09,"Monday",94,"06:54:23","FINCH STATION","Mechanical","S",8159,1
2024-12-08,"Sunday",109,"21:58:52","MAIN STATION","Vision","S",7213,0
2024-11-18,"Monday",125,"00:14:15","KEELE AND GLENLAKE","General Delay","S",7969,0
2024-02-17,"Saturday",104,"00:05:10","FINCH STATION","Mechanical","S",7892,1
2024-04-20,"Saturday",106,"23:21:00","MAIN STATION","General Delay","N",6554,0
2024-10-05,"Saturday",90,"01:36:23","BLOOR AND MANNING","Mechanical","E",7541,1
2024-11-12,"Tuesday",97,"09:56:42","KEELE AND GLENLAKE","Security","S",5696,0
2024-10-21,"Monday",98,"23:01:17","BLOOR AND MANNING","General Delay","W",6857,1
2024-08-09,"Friday",92,"06:42:29","BLOOR AND MANNING","Mechanical","S",4997,1
2024-10-13,"Sunday",110,"22:51:03","FINCH STATION","General Delay","N",6814,0
2024-08-09,"Friday",105,"22:58:42","MAIN STATION","Vision","E",7328,0
2024-03-13,"Wednesday",108,"22:43:41","MAIN STATION","Vision","N",8620,0
2024-10-18,"Friday",94,"22:45:10","FINCH STATION","Security","E",6665,0
2024-08-13,"Tuesday",124,"01:50:20","FINCH STATION","Security","N",6824,0
2024-10-04,"Friday",83,"21:52:08","BLOOR AND MANNING","Mechanical","N",8283,1
2024-06-20,"Thursday",78,"20:41:11","KEELE AND GLENLAKE","Vision","W",7174,0
2024-10-23,"Wednesday",92,"03:56:02","PARLIAMENT AND BLOOR","Security","W",6734,0
2024-12-13,"Friday",108,"18:37:55","KEELE AND GLENLAKE","Mechanical","E",7527,1
2024-04-02,"Tuesday",95,"02:25:29","PARLIAMENT AND BLOOR","Vision","S",6313,0
2024-05-04,"Saturday",97,"15:36:14","MAIN STATION","Vision","E",7052,0
2024-10-25,"Friday",96,"22:15:34","BLOOR AND MANNING","Mechanical","N",7533,1
2024-02-08,"Thursday",104,"06:08:11","BLOOR AND MANNING","Security","S",6633,0
2024-08-24,"Saturday",102,"11:54:39","MAIN STATION","Mechanical","E",7177,1
2024-06-13,"Thursday",108,"19:25:43","KEELE AND GLENLAKE","Vision","N",8225,1
2024-04-16,"Tuesday",94,"11:58:25","KEELE AND GLENLAKE","General Delay","E",7665,0
2024-02-02,"Friday",98,"19:42:47","BLOOR AND MANNING","Mechanical","N",6376,1
2024-03-23,"Saturday",92,"09:09:29","BLOOR AND MANNING","General Delay","S",8056,0
2024-12-19,"Thursday",102,"15:28:49","FINCH STATION","General Delay","N",6240,0
2024-10-03,"Thursday",113,"16:40:02","PARLIAMENT AND BLOOR","Vision","S",5201,0
2024-07-27,"Saturday",119,"01:45:22","PARLIAMENT AND BLOOR","Security","S",6606,0
