"Date","Route","Time","Day","Incident","Direction","Vehicle","delay"
"2024/1/2","29",06:33:00,"Tuesday","Cleaning - Unsanitary","N",9146,1
"2024/1/2","79",06:50:00,"Tuesday","Mechanical","S",3728,1
"2024/1/2","960",06:53:00,"Tuesday","Mechanical","S",8217,1
"2024/1/2","34",06:54:00,"Tuesday","Cleaning - Unsanitary","W",8769,1
"2024/1/2","56",07:16:00,"Tuesday","Collision - TTC","W",8670,1
"2024/1/2","124",07:44:00,"Tuesday","Mechanical",NA,8312,1
"2024/1/2","84",07:44:00,"Tuesday","Operations - Operator",NA,0,1
"2024/1/2","36",07:50:00,"Tuesday","Operations - Operator",NA,8945,1
"2024/1/2","939",07:50:00,"Tuesday","Mechanical","W",3143,1
"2024/1/2","162",08:06:00,"Tuesday","Diversion",NA,8690,1
"2024/1/2","939",08:08:00,"Tuesday","Mechanical",NA,3143,1
"2024/1/2","96",08:10:00,"Tuesday","Operations - Operator",NA,3637,1
"2024/1/2","99",08:11:00,"Tuesday","Mechanical","N",3714,1
"2024/1/2","996",08:13:00,"Tuesday","Mechanical",NA,1386,1
"2024/1/2","52",08:24:00,"Tuesday","Mechanical","E",3603,1
"2024/1/2","29",08:38:00,"Tuesday","Operations - Operator",NA,9140,1
"2024/1/2","82",08:44:00,"Tuesday","General Delay","E",8548,0
"2024/1/2","903",08:50:00,"Tuesday","Mechanical",NA,9089,1
"2024/1/2","41",08:52:00,"Tuesday","Operations - Operator","S",1005,1
"2024/1/2","35",09:06:00,"Tuesday","Operations - Operator","N",1064,1
"2024/1/2","64",09:14:00,"Tuesday","Operations - Operator","W",8512,1
"2024/1/2","7",09:27:00,"Tuesday","Operations - Operator","N",9017,1
"2024/1/2","40",09:33:00,"Tuesday","Operations - Operator","E",8039,1
"2024/1/2","39",09:35:00,"Tuesday","Operations - Operator","W",3317,1
"2024/1/2","113",09:40:00,"Tuesday","Operations - Operator","E",8546,1
"2024/1/2","53",09:40:00,"Tuesday","Operations - Operator","E",3246,1
"2024/1/2","31",09:41:00,"Tuesday","Operations - Operator","S",8494,1
"2024/1/2","9",09:45:00,"Tuesday","Mechanical","N",8594,1
"2024/1/2","19",09:49:00,"Tuesday","Operations - Operator","S",8443,1
"2024/1/2","106",09:54:00,"Tuesday","Operations - Operator",NA,8379,1
"2024/1/2","29",09:54:00,"Tuesday","Cleaning - Unsanitary","N",9026,1
"2024/1/2","50",10:02:00,"Tuesday","Mechanical","S",8164,1
"2024/1/2","960",10:18:00,"Tuesday","Mechanical","W",8326,1
"2024/1/2","124",10:34:00,"Tuesday","Mechanical","W",8388,1
"2024/1/2","927",11:01:00,"Tuesday","Operations - Operator","S",8955,1
"2024/1/2","29",11:03:00,"Tuesday","Cleaning - Unsanitary","N",9027,1
"2024/1/2","94",11:20:00,"Tuesday","Cleaning - Unsanitary","E",8597,1
"2024/1/2","97",11:38:00,"Tuesday","Mechanical","S",7118,1
"2024/1/2","35",11:38:00,"Tuesday","Cleaning - Unsanitary","N",1086,1
"2024/1/2","927",11:39:00,"Tuesday","Diversion","N",3560,1
"2024/1/2","7",11:40:00,"Tuesday","Cleaning - Unsanitary","S",9000,1
"2024/1/2","927",11:45:00,"Tuesday","Utilized Off Route","N",3543,1
"2024/1/2","21",12:08:00,"Tuesday","Operations - Operator","W",8435,1
"2024/1/2","24",12:18:00,"Tuesday","Operations - Operator","S",8406,1
"2024/1/2","925",12:45:00,"Tuesday","Operations - Operator","N",8728,1
"2024/1/2","53",12:52:00,"Tuesday","Operations - Operator","W",9084,1
"2024/1/2","72",13:12:00,"Tuesday","Operations - Operator","S",8559,1
"2024/1/2","90",13:16:00,"Tuesday","Operations - Operator","S",8327,1
"2024/1/2","88",13:37:00,"Tuesday","Collision - TTC","W",8636,1
"2024/1/2","47",13:44:00,"Tuesday","Vision","S",8300,1
"2024/1/2","925",13:47:00,"Tuesday","Cleaning - Unsanitary","N",8872,1
"2024/1/2","97",14:00:00,"Tuesday","Vision","S",7048,1
"2024/1/2","927",14:00:00,"Tuesday","General Delay",NA,0,0
"2024/1/2","34",14:04:00,"Tuesday","Investigation","W",8856,0
"2024/1/2","129",14:15:00,"Tuesday","Mechanical",NA,3280,1
"2024/1/2","25",14:34:00,"Tuesday","Mechanical","N",8716,1
"2024/1/2","989",14:39:00,"Tuesday","Mechanical","S",3507,1
"2024/1/2","927",14:49:00,"Tuesday","Mechanical",NA,8955,1
"2024/1/2","52",15:00:00,"Tuesday","Mechanical",NA,8882,1
"2024/1/2","52",15:02:00,"Tuesday","Mechanical","W",8882,1
"2024/1/2","953",15:04:00,"Tuesday","Mechanical",NA,9086,1
"2024/1/2","952",15:13:00,"Tuesday","Mechanical","W",8845,1
"2024/1/2","102",15:34:00,"Tuesday","Investigation","S",3437,0
"2024/1/2","952",15:49:00,"Tuesday","Mechanical","W",8850,1
"2024/1/2","902",15:58:00,"Tuesday","Emergency Services","W",3435,1
"2024/1/2","43",16:05:00,"Tuesday","Mechanical","N",3232,1
"2024/1/2","97",16:05:00,"Tuesday","Operations - Operator","N",8214,1
"2024/1/2","105",16:08:00,"Tuesday","Mechanical","N",8305,1
"2024/1/2","63",16:12:00,"Tuesday","Operations - Operator","S",8303,1
"2024/1/2","85",16:16:00,"Tuesday","Operations - Operator","E",9493,1
"2024/1/2","32",16:16:00,"Tuesday","Operations - Operator","E",7295,1
"2024/1/2","124",16:28:00,"Tuesday","Utilized Off Route","W",7112,1
"2024/1/2","17",16:29:00,"Tuesday","Security","N",3198,1
"2024/1/2","38",16:31:00,"Tuesday","Operations - Operator","W",1312,1
"2024/1/2","84",16:34:00,"Tuesday","Diversion",NA,0,1
"2024/1/2","96",16:35:00,"Tuesday","Operations - Operator","E",3568,1
"2024/1/2","939",16:38:00,"Tuesday","Operations - Operator","W",3193,1
"2024/1/2","125",16:52:00,"Tuesday","Security","E",3523,1
"2024/1/2",NA,16:54:00,"Tuesday","Mechanical",NA,8136,0
"2024/1/2","960",16:55:00,"Tuesday","Vision","E",7008,1
"2024/1/2","960",17:09:00,"Tuesday","Mechanical",NA,7099,1
"2024/1/2","47",17:19:00,"Tuesday","Mechanical","S",8173,1
"2024/1/2","107",17:22:00,"Tuesday","Security",NA,8357,1
"2024/1/2","941",17:36:00,"Tuesday","Collision - TTC","N",9048,1
"2024/1/2","44",17:46:00,"Tuesday","Operations - Operator","S",8037,1
"2024/1/2","86",17:52:00,"Tuesday","Operations - Operator",NA,1332,1
"2024/1/2","63",17:53:00,"Tuesday","Operations - Operator","E",7121,1
"2024/1/2","937",17:59:00,"Tuesday","Cleaning - Unsanitary","N",52022,1
"2024/1/2","960",18:13:00,"Tuesday","Diversion","E",8217,1
"2024/1/2","900",18:13:00,"Tuesday","Operations - Operator","S",3341,1
"2024/1/2","985",18:16:00,"Tuesday","Operations - Operator","E",3642,1
"2024/1/2","75",18:22:00,"Tuesday","Utilized Off Route","N",8557,1
"2024/1/2","52",18:27:00,"Tuesday","Operations - Operator","W",3624,1
"2024/1/2","84",18:30:00,"Tuesday","Operations - Operator","W",3623,1
"2024/1/2","32",18:32:00,"Tuesday","Vision","E",7230,1
"2024/1/2","52",18:33:00,"Tuesday","Operations - Operator","E",3554,1
"2024/1/2","12",18:39:00,"Tuesday","Emergency Services","N",8498,1
"2024/1/2","95",18:39:00,"Tuesday","Operations - Operator","E",1260,1
"2024/1/2","38",18:42:00,"Tuesday","Operations - Operator","W",1212,0
"2024/1/2","161",18:59:00,"Tuesday","Diversion","E",0,1
"2024/1/2","54",19:04:00,"Tuesday","Utilized Off Route","W",8773,1
"2024/1/2","925",19:15:00,"Tuesday","Utilized Off Route","N",8763,1
"2024/1/2","11",19:16:00,"Tuesday","Utilized Off Route","S",8649,1
"2024/1/2","11",19:16:00,"Tuesday","Utilized Off Route","S",8649,1
"2024/1/2","63",19:20:00,"Tuesday","Utilized Off Route","E",7121,1
"2024/1/2","985",19:29:00,"Tuesday","Collision - TTC","W",1253,1
"2024/1/2","24",19:41:00,"Tuesday","Mechanical","E",8418,1
"2024/1/2","42",19:42:00,"Tuesday","Diversion","W",0,1
"2024/1/2","54",19:51:00,"Tuesday","Utilized Off Route","S",8644,1
"2024/1/2","129",19:53:00,"Tuesday","Utilized Off Route","N",3166,1
"2024/1/2","89",19:54:00,"Tuesday","Mechanical","N",8169,1
"2024/1/2","89",19:54:00,"Tuesday","Mechanical","N",8169,1
"2024/1/2","34",20:26:00,"Tuesday","Operations - Operator","E",8852,1
"2024/1/2",NA,20:40:00,"Tuesday","Operations - Operator",NA,0,0
"2024/1/2","34",20:42:00,"Tuesday","Operations - Operator","E",8852,1
"2024/1/2","133",20:52:00,"Tuesday","Emergency Services","S",1320,1
"2024/1/2","70",21:00:00,"Tuesday","Cleaning - Unsanitary","E",8405,1
"2024/1/2","47",21:11:00,"Tuesday","Emergency Services",NA,3532,1
"2024/1/2","38",21:38:00,"Tuesday","Mechanical","E",3447,1
"2024/1/2","84",21:44:00,"Tuesday","Operations - Operator","W",3626,1
"2024/1/2","95",21:46:00,"Tuesday","Security","W",1260,1
"2024/1/2","96",21:58:00,"Tuesday","Mechanical","W",3556,1
"2024/1/2","45",22:01:00,"Tuesday","Security","S",1121,1
"2024/1/2","63",22:07:00,"Tuesday","Operations - Operator","N",0,1
"2024/1/2","41",22:08:00,"Tuesday","Security",NA,1350,1
"2024/1/2","61",22:26:00,"Tuesday","Diversion","N",0,1
"2024/1/2","120",22:26:00,"Tuesday","Emergency Services","N",8964,1
"2024/1/2","75",22:26:00,"Tuesday","Security","N",8604,0
"2024/1/2","116",22:34:00,"Tuesday","Security","W",3640,1
"2024/1/2","96",22:36:00,"Tuesday","Diversion","E",8875,1
"2024/1/2","95",22:44:00,"Tuesday","Diversion","W",1211,1
"2024/1/2","165",22:45:00,"Tuesday","Collision - TTC","W",8843,1
"2024/1/2","96",22:54:00,"Tuesday","Collision - TTC",NA,8879,0
"2024/1/2","89",23:07:00,"Tuesday","Security","N",8203,1
"2024/1/2","116",23:50:00,"Tuesday","Diversion","N",3450,1
"2024/1/2","102",23:59:00,"Tuesday","Mechanical",NA,3432,1
"2024/1/2","45",01:13:00,"Tuesday","Mechanical","S",1121,1
"2024/1/3","32",02:01:00,"Wednesday","Mechanical",NA,7232,1
"2024/1/3","44",02:04:00,"Wednesday","Mechanical","N",8018,1
"2024/1/3","396",02:30:00,"Wednesday","Operations - Operator","W",8886,1
"2024/1/3","300",02:53:00,"Wednesday","Security","S",3414,0
"2024/1/3","343",03:15:00,"Wednesday","Investigation","N",3122,1
"2024/1/3","320",03:38:00,"Wednesday","Security",NA,3144,0
"2024/1/3","320",04:24:00,"Wednesday","Emergency Services","N",8178,0
"2024/1/3","38",05:11:00,"Wednesday","Mechanical","N",1618,0
"2024/1/3","501",05:20:00,"Wednesday","General Delay","E",3512,1
"2024/1/3","300",05:27:00,"Wednesday","Security",NA,3331,0
"2024/1/3","32",05:31:00,"Wednesday","Mechanical","W",3738,1
"2024/1/3","34",05:35:00,"Wednesday","Operations - Operator","W",8785,1
"2024/1/3","40",05:45:00,"Wednesday","Cleaning - Unsanitary","E",8871,1
"2024/1/3","54",05:56:00,"Wednesday","Operations - Operator","E",3752,1
"2024/1/3","320",06:00:00,"Wednesday","Security","E",8692,1
"2024/1/3","54",06:06:00,"Wednesday","Operations - Operator","E",8668,1
"2024/1/3","935",06:08:00,"Wednesday","Mechanical","S",1000,1
"2024/1/3","902",06:17:00,"Wednesday","Mechanical","W",3438,0
"2024/1/3","952",06:17:00,"Wednesday","Mechanical",NA,8849,1
"2024/1/3","968",06:18:00,"Wednesday","Mechanical","S",3228,1
"2024/1/3","41",06:25:00,"Wednesday","Mechanical","S",3727,1
"2024/1/3",NA,06:28:00,"Wednesday","Operations - Operator",NA,0,0
"2024/1/3","107",06:46:00,"Wednesday","Diversion","S",8210,1
"2024/1/3","63",06:52:00,"Wednesday","Mechanical","S",7086,1
"2024/1/3","939",07:00:00,"Wednesday","Mechanical","E",8914,1
"2024/1/3","32",07:01:00,"Wednesday","Collision - TTC","E",7251,1
"2024/1/3","76",07:13:00,"Wednesday","Emergency Services",NA,8080,1
"2024/1/3","34",07:27:00,"Wednesday","Mechanical","E",859,1
"2024/1/3","53",07:28:00,"Wednesday","Mechanical","E",3312,1
"2024/1/3","126",07:30:00,"Wednesday","Mechanical",NA,7017,1
"2024/1/3","56",07:32:00,"Wednesday","Cleaning - Unsanitary","S",8755,1
"2024/1/3","73",07:41:00,"Wednesday","Diversion","S",8035,1
"2024/1/3","96",07:53:00,"Wednesday","Operations - Operator","E",3703,1
"2024/1/3","29",08:00:00,"Wednesday","Security",NA,9148,0
"2024/1/3","7",08:17:00,"Wednesday","Operations - Operator","N",9000,1
"2024/1/3","929",08:46:00,"Wednesday","Operations - Operator","S",9033,1
"2024/1/3","960",08:47:00,"Wednesday","Mechanical",NA,7038,1
"2024/1/3","116",08:51:00,"Wednesday","Operations - Operator","E",1200,1
"2024/1/3","36",08:52:00,"Wednesday","Collision - TTC","E",8907,1
"2024/1/3","84",09:24:00,"Wednesday","Operations - Operator",NA,8845,1
"2024/1/3","41",09:25:00,"Wednesday","Mechanical","N",1416,1
"2024/1/3","85",09:30:00,"Wednesday","Operations - Operator","W",1305,1
"2024/1/3","25",09:35:00,"Wednesday","Mechanical",NA,8735,1
"2024/1/3","35",09:38:00,"Wednesday","Collision - TTC","N",1119,1
"2024/1/3","133",09:44:00,"Wednesday","Operations - Operator","N",1248,1
"2024/1/3","40",09:46:00,"Wednesday","Mechanical","W",8024,1
"2024/1/3","96",09:53:00,"Wednesday","Mechanical","E",9208,1
"2024/1/3","960",10:11:00,"Wednesday","Vision","E",8387,1
"2024/1/3","84",10:35:00,"Wednesday","Operations - Operator",NA,8842,1
"2024/1/3","84",10:50:00,"Wednesday","Collision - TTC","W",3614,1
"2024/1/3","39",10:56:00,"Wednesday","Mechanical","E",3114,1
"2024/1/3","935",11:15:00,"Wednesday","Mechanical","S",1116,1
"2024/1/3","37",11:23:00,"Wednesday","Mechanical","S",3356,1
"2024/1/3","37",11:23:00,"Wednesday","Mechanical","S",8153,1
"2024/1/3","89",11:33:00,"Wednesday","Mechanical","S",8187,1
"2024/1/3","131",11:39:00,"Wednesday","Collision - TTC","N",1235,1
"2024/1/3","161",11:59:00,"Wednesday","Operations - Operator","E",1413,1
"2024/1/3","37",12:01:00,"Wednesday","Mechanical",NA,8153,1
"2024/1/3","43",12:20:00,"Wednesday","Mechanical","N",3145,1
"2024/1/3","46",12:28:00,"Wednesday","Mechanical","S",8112,1
"2024/1/3","29",12:38:00,"Wednesday","Mechanical","S",9144,1
"2024/1/3","96",12:45:00,"Wednesday","Emergency Services","W",3588,0
"2024/1/3","109",12:47:00,"Wednesday","Mechanical",NA,8189,1
"2024/1/3","95",12:58:00,"Wednesday","Operations - Operator","N",3473,1
"2024/1/3","41",13:01:00,"Wednesday","Emergency Services","N",7214,1
"2024/1/3","29",13:06:00,"Wednesday","Cleaning - Unsanitary","N",9148,1
"2024/1/3","939",13:13:00,"Wednesday","Mechanical","E",3136,1
"2024/1/3","63",13:16:00,"Wednesday","Utilized Off Route","N",8347,1
"2024/1/3","44",13:33:00,"Wednesday","Operations - Operator","S",8111,1
"2024/1/3","20",13:34:00,"Wednesday","Mechanical","W",8464,1
"2024/1/3","996",13:40:00,"Wednesday","Operations - Operator","E",8900,1
"2024/1/3","131",13:43:00,"Wednesday","Mechanical","W",1655,1
"2024/1/3","40",13:52:00,"Wednesday","Mechanical","E",8024,1
"2024/1/3","903",13:55:00,"Wednesday","Mechanical","E",9096,1
"2024/1/3","52",13:56:00,"Wednesday","Mechanical",NA,9207,1
"2024/1/3","97",14:00:00,"Wednesday","Operations - Operator","W",8355,1
"2024/1/3","32",14:03:00,"Wednesday","Security","W",1118,1
"2024/1/3","11",14:08:00,"Wednesday","Emergency Services","E",8836,1
"2024/1/3",NA,14:10:00,"Wednesday","Mechanical",NA,349,0
"2024/1/3","44",14:20:00,"Wednesday","Mechanical","N",8119,1
"2024/1/3","109",14:20:00,"Wednesday","Mechanical","N",7092,1
"2024/1/3","902",14:20:00,"Wednesday","Mechanical","W",3438,1
"2024/1/3","116",14:41:00,"Wednesday","Mechanical","N",1652,1
"2024/1/3","119",14:46:00,"Wednesday","Operations - Operator","E",7074,1
"2024/1/3","74",14:56:00,"Wednesday","Mechanical",NA,8627,1
"2024/1/3","52",14:56:00,"Wednesday","Emergency Services","W",8899,1
"2024/1/3","35",15:03:00,"Wednesday","Mechanical","S",7293,1
"2024/1/3","71",15:07:00,"Wednesday","Cleaning - Unsanitary","S",1398,1
"2024/1/3","29",15:13:00,"Wednesday","Mechanical","N",9054,1
"2024/1/3","939",15:16:00,"Wednesday","Mechanical",NA,3202,1
"2024/1/3","98",15:17:00,"Wednesday","Mechanical","E",8338,1
"2024/1/3","95",15:20:00,"Wednesday","Operations - Operator","W",3479,1
"2024/1/3","52",15:26:00,"Wednesday","Operations - Operator","E",9213,1
"2024/1/3","47",15:34:00,"Wednesday","Operations - Operator","N",8333,1
"2024/1/3","125",15:35:00,"Wednesday","Mechanical",NA,8351,1
"2024/1/3","11",15:39:00,"Wednesday","Mechanical","S",8775,1
"2024/1/3","35",15:43:00,"Wednesday","Operations - Operator","W",1129,1
"2024/1/3","85",15:45:00,"Wednesday","Vision","S",1661,1
"2024/1/3","960",15:48:00,"Wednesday","Operations - Operator","E",8213,1
"2024/1/3","24",15:49:00,"Wednesday","Diversion","N",8581,1
"2024/1/3","41",15:57:00,"Wednesday","Mechanical","S",1399,1
"2024/1/3","52",15:58:00,"Wednesday","Operations - Operator","E",3580,1
"2024/1/3","73",16:17:00,"Wednesday","Mechanical","W",8120,1
"2024/1/3","89",16:32:00,"Wednesday","Operations - Operator","W",3500,1
"2024/1/3","986",16:33:00,"Wednesday","Mechanical","E",3495,1
"2024/1/3","939",16:34:00,"Wednesday","Vision","E",3219,1
"2024/1/3","96",16:35:00,"Wednesday","Operations - Operator","E",8893,1
"2024/1/3","122",16:43:00,"Wednesday","Collision - TTC","W",3480,1
"2024/1/3","54",16:47:00,"Wednesday","Operations - Operator","S",8641,1
"2024/1/3","168",16:50:00,"Wednesday","Security",NA,3743,1
